S.No,Hour,Car No.,Team,Drivers,Car,Category,Tyres,Laps,Total Time,Pit Stops,Best Lap Number,Best Lap Time,Best Lap Kph,Status
87,2,65,Panis Racing,M. MALDONADO / T. VAN DER HELM / J. VAN UITERT,Oreca 07 - Gibson,2,2,25,02:01:31,2,10.0,03:38.1,225.0,1
1003,17,34,Inter Europol Competition,J. SMIECHOWSKI / A. COSTA / F. SCHERER,Oreca 07 - Gibson,2,2,223,17:03:28,24,66.0,03:38.6,224.4,1
1098,18,88,Proton Competition,H. TINCKNELL / D. YOUNT / J. RIED,Porsche 911 RSR - 19,4,1,170,13:57:05,13,147.0,03:51.8,211.6,2
643,11,80,AF Corse,F. PERRODO / B. BARNICOAT / N. NATO,Oreca 07 - Gibson,2,2,131,11:02:13,14,130.0,03:40.2,222.8,1
1150,19,38,Hertz Team JOTA,A. DA COSTA / W. STEVENS / Y. YE,Porsche 963,1,1,238,18:23:49,23,228.0,03:28.1,235.7,1
908,15,100,Walkenhorst Motorsport,C. HULL / A. HARYANTO / J. SEGAL,Ferrari 488 GTE Evo,4,1,181,15:01:20,14,11.0,03:54.7,209.0,1
1265,21,37,COOL Racing,N. LAPIERRE / A. COIGNY / M. JAKOBSEN,Oreca 07 - Gibson,2,2,271,21:03:08,31,223.0,03:37.1,226.0,1
60,1,708,Glickenhaus Racing,R. DUMAS / R. BRISCOE / O. PLA,Glickenhaus 007,1,1,11,01:01:30,1,9.0,03:30.4,233.1,1
163,3,25,ORT by TF,A. AL HARTHY / M. DINAN / C. EASTWOOD,Aston Martin Vantage AMR,4,1,36,03:10:06,4,29.0,03:52.8,210.7,1
1093,18,100,Walkenhorst Motorsport,C. HULL / A. HARYANTO / J. SEGAL,Ferrari 488 GTE Evo,4,1,223,18:01:25,17,11.0,03:54.7,209.0,1
1061,18,50,Ferrari AF Corse,A. FUOCO / M. MOLINA / N. NIELSEN,Ferrari 499P,1,1,242,18:01:32,23,239.0,03:27.4,236.5,1
557,9,13,Tower Motorsports,S. THOMAS / R. TAYLOR / R. RAST,Oreca 07 - Gibson,2,2,19,01:34:25,3,10.0,03:39.1,223.9,2
896,15,54,AF Corse,T. FLOHR / F. CASTELLACCI / D. RIGON,Ferrari 488 GTE Evo,4,1,184,15:03:10,15,8.0,03:52.1,211.3,1
888,15,10,Vector Sport,R. CULLEN / G. AUBRY / M. KAISER,Oreca 07 - Gibson,2,2,190,15:02:02,19,11.0,03:37.7,225.3,1
843,14,98,Northwest AMR,I. JAMES / D. MANCINELLI / A. RIBERAS,Aston Martin Vantage AMR,4,1,171,14:05:37,14,138.0,03:54.5,209.2,1
807,14,8,Toyota Gazoo Racing,S. BUEMI / B. HARTLEY / R. HIRAKAWA,Toyota GR010 HYBRID,1,1,187,14:01:13,17,10.0,03:29.7,234.0,1
828,14,45,Algarve Pro Racing,G. KURTZ / J. ALLEN / C. BRAUN,Oreca 07 - Gibson,2,2,176,14:05:25,17,9.0,03:38.0,225.0,1
1264,21,6,Porsche Penske Motorsport,K. ESTRE / A. LOTTERER / L. VANTHOOR,Porsche 963,1,1,271,21:01:01,23,227.0,03:28.3,235.5,1
95,2,63,Prema Racing,D. PIN / D. KVYAT / M. BORTOLOTTI,Oreca 07 - Gibson,2,2,25,02:03:35,2,10.0,03:39.9,223.1,1
1340,22,24,Hendrick Motorsports,J. JOHNSON / M. ROCKENFELLER / J. BUTTON,Chevrolet Camaro ZL1,3,2,258,22:03:46,24,257.0,03:50.5,212.8,1
470,8,25,ORT by TF,A. AL HARTHY / M. DINAN / C. EASTWOOD,Aston Martin Vantage AMR,4,1,95,08:07:24,10,29.0,03:52.8,210.7,1
1105,18,7,Toyota Gazoo Racing,M. CONWAY / K. KOBAYASHI / J. LOPEZ,Toyota GR010 HYBRID,1,1,103,07:58:44,10,12.0,03:30.0,233.6,2
665,11,311,Action Express Racing,L. DERANI / A. SIMS / J. AITKEN,Cadillac V-Series.R,1,1,122,11:03:54,12,54.0,03:30.6,232.9,1
1299,21,21,AF Corse,S. MANN / J. PIGUET / U. DE PAUW,Ferrari 488 GTE Evo,4,1,21,01:45:28,2,11.0,03:54.8,208.9,2
223,4,72,TF Sport,A. ROBIN / M. ROBIN / V. HASSE-CLOT,Aston Martin Vantage AMR,4,1,44,04:05:07,4,14.0,03:55.0,208.7,1
1426,24,51,Ferrari AF Corse,A. PIER GUIDI / J. CALADO / A. GIOVINAZZI,Ferrari 499P,1,1,342,00:00:18,30,264.0,03:27.9,236.0,1
808,14,51,Ferrari AF Corse,A. PIER GUIDI / J. CALADO / A. GIOVINAZZI,Ferrari 499P,1,1,187,14:01:58,17,12.0,03:29.1,234.6,1
1446,24,22,United Autosports,P. HANSON / F. ALBUQUERQUE / F. LUBIN,Oreca 07 - Gibson,2,2,321,00:03:00,34,265.0,03:36.7,226.4,1
708,12,4,Floyd Vanwall Racing Team,T. DILLMANN / E. GUERRIERI / T. VAUTIER,Vanwall Vandervell 680,1,1,130,12:03:42,15,125.0,03:32.6,230.7,1
1462,24,39,Graff Racing,R. LACORTE / G. VAN DER GARDE / P. PILET,Oreca 07 - Gibson,2,2,303,00:01:39,31,266.0,03:37.3,225.7,1
879,15,94,Peugeot TotalEnergies,L. DUVAL / G. MENEZES / N. MÜLLER,Peugeot 9X8,1,1,192,15:02:52,18,10.0,03:29.7,234.0,1
517,9,37,COOL Racing,N. LAPIERRE / A. COIGNY / M. JAKOBSEN,Oreca 07 - Gibson,2,2,107,09:05:39,13,54.0,03:39.0,224.0,1
1310,22,93,Peugeot TotalEnergies,P. DI RESTA / M. JENSEN / J. VERGNE,Peugeot 9X8,1,1,298,22:01:33,28,290.0,03:28.8,234.9,1
75,2,4,Floyd Vanwall Racing Team,T. DILLMANN / E. GUERRIERI / T. VAUTIER,Vanwall Vandervell 680,1,1,26,02:04:32,3,12.0,03:32.9,230.4,1
1176,19,21,AF Corse,S. MANN / J. PIGUET / U. DE PAUW,Ferrari 488 GTE Evo,4,1,21,01:45:28,2,11.0,03:54.8,208.9,2
357,6,86,GR Racing,M. WAINWRIGHT / B. BARKER / R. PERA,Porsche 911 RSR - 19,4,1,68,06:05:03,7,10.0,03:52.2,211.2,1
549,9,923,Racing Team Turkey,S. YOLUC / T. GAMBLE / D. VANTHOOR,Oreca 07 - Gibson,2,2,87,07:50:02,10,9.0,03:37.6,225.4,2
1295,21,83,Richard Mille AF Corse,L. PEREZ COMPANC / A. ROVERA / L. WADOUX,Ferrari 488 GTE Evo,4,1,33,02:46:33,3,8.0,03:52.5,211.0,2
607,10,32,Inter Europol Competition,M. KVAMME / J. MAGNUSSEN / A. FJORDBACH,Oreca 07 - Gibson,2,2,104,10:00:52,13,57.0,03:39.4,223.6,1
49,1,85,Iron Dames,S. BOVY / M. GATTING / R. FREY,Porsche 911 RSR - 19,4,1,12,01:04:31,1,10.0,03:54.9,208.9,1
960,16,56,Project 1 - AO,P. HYETT / G. JEANNETTE / M. CAIROLI,Porsche 911 RSR - 19,4,1,199,16:04:28,15,11.0,03:51.4,211.9,1
857,14,7,Toyota Gazoo Racing,M. CONWAY / K. KOBAYASHI / J. LOPEZ,Toyota GR010 HYBRID,1,1,103,07:58:44,10,12.0,03:30.0,233.6,2
938,16,709,Glickenhaus Racing,F. MAILLEUX / N. BERTHON / E. GUTIERREZ,Glickenhaus 007,1,1,212,16:03:24,21,11.0,03:30.6,233.0,1
899,15,56,Project 1 - AO,P. HYETT / G. JEANNETTE / M. CAIROLI,Porsche 911 RSR - 19,4,1,184,15:03:39,14,11.0,03:51.4,211.9,1
616,10,16,Proton Competition,R. HARDWICK / Z. ROBICHON / J. HEYLEN,Porsche 911 RSR - 19,4,1,28,02:20:57,2,10.0,03:58.7,205.5,2
480,8,74,Kessel Racing,K. COZZOLINO / Y. TSUJIKO / N. YOKOMIZO,Ferrari 488 GTE Evo,4,1,92,08:06:36,9,10.0,03:54.9,208.9,1
438,8,51,Ferrari AF Corse,A. PIER GUIDI / J. CALADO / A. GIOVINAZZI,Ferrari 499P,1,1,104,08:08:31,10,12.0,03:29.1,234.6,1
1252,21,48,IDEC Sport,P. LAFARGUE / P. CHATIN / L. HÖRR,Oreca 07 - Gibson,2,2,280,21:01:49,27,273.0,03:36.2,226.9,1
914,15,4,Floyd Vanwall Racing Team,T. DILLMANN / E. GUERRIERI / T. VAUTIER,Vanwall Vandervell 680,1,1,163,15:02:44,19,125.0,03:32.6,230.7,1
537,9,22,United Autosports,P. HANSON / F. ALBUQUERQUE / F. LUBIN,Oreca 07 - Gibson,2,2,102,09:05:42,13,11.0,03:37.8,225.2,1
1329,22,85,Iron Dames,S. BOVY / M. GATTING / R. FREY,Porsche 911 RSR - 19,4,1,283,22:02:52,20,221.0,03:53.6,210.0,1
285,5,72,TF Sport,A. ROBIN / M. ROBIN / V. HASSE-CLOT,Aston Martin Vantage AMR,4,1,56,05:07:28,5,14.0,03:55.0,208.7,1
187,4,94,Peugeot TotalEnergies,L. DUVAL / G. MENEZES / N. MALLER,Peugeot 9X8,1,1,47,04:04:45,4,10.0,03:29.7,234.0,1
604,10,9,Prema Racing,B. VISCAAL / J. CORREA / F. UGRAN,Oreca 07 - Gibson,2,2,109,10:03:12,13,10.0,03:37.8,225.2,1
125,3,50,Ferrari AF Corse,A. FUOCO / M. MOLINA / N. NIELSEN,Ferrari 499P,1,1,39,03:04:58,4,31.0,03:29.0,234.7,1
17,1,36,Alpine Elf Team,M. VAXIVIERE / C. MILESI / J. CANAL,Oreca 07 - Gibson,2,2,12,01:02:27,1,10.0,03:37.4,225.6,1
2,1,51,Ferrari AF Corse,A. PIER GUIDI / J. CALADO / A. GIOVINAZZI,Ferrari 499P,1,1,12,01:01:19,0,12.0,03:29.1,234.6,1
337,6,36,Alpine Elf Team,M. VAXIVIERE / C. MILESI / J. CANAL,Oreca 07 - Gibson,2,2,71,06:02:49,9,10.0,03:37.4,225.6,1
317,6,7,Toyota Gazoo Racing,M. CONWAY / K. KOBAYASHI / J. LOPEZ,Toyota GR010 HYBRID,1,1,75,06:03:30,7,12.0,03:30.0,233.6,1
414,7,88,Proton Competition,H. TINCKNELL / D. YOUNT / J. RIED,Porsche 911 RSR - 19,4,1,81,07:03:47,6,8.0,03:52.2,211.2,1
1240,20,14,Nielsen Racing,R. SALES / M. BECHE / B. HANLEY,Oreca 07 - Gibson,2,2,18,01:27:23,2,13.0,03:44.2,218.8,2
27,1,31,Team WRT,S. GELAEL / F. HABSBURG / R. FRIJNS,Oreca 07 - Gibson,2,2,12,01:02:39,1,10.0,03:39.4,223.5,1
1079,18,23,United Autosports,J. PIERSON / T. BLOMQVIST / O. JARVIS,Oreca 07 - Gibson,2,2,233,18:04:23,25,227.0,03:37.5,225.5,1
1406,23,80,AF Corse,F. PERRODO / B. BARNICOAT / N. NATO,Oreca 07 - Gibson,2,2,183,14:31:45,18,149.0,03:39.8,223.2,2
1181,20,2,Cadillac Racing,E. BAMBER / A. LYNN / R. WESTBROOK,Cadillac V-Series.R,1,1,276,20:00:16,24,263.0,03:28.0,235.9,1
962,16,54,AF Corse,T. FLOHR / F. CASTELLACCI / D. RIGON,Ferrari 488 GTE Evo,4,1,199,16:05:04,16,8.0,03:52.1,211.3,1
1440,24,10,Vector Sport,R. CULLEN / G. AUBRY / M. KAISER,Oreca 07 - Gibson,2,2,325,00:03:07,31,11.0,03:37.7,225.3,1
307,5,55,GMB Motorsport,G. BIRCH / M. SARENSEN/ J. MALLER,Aston Martin Vantage AMR,4,1,21,01:45:27,2,17.0,03:56.2,207.7,1
230,4,24,Hendrick Motorsports,J. JOHNSON / M. ROCKENFELLER / J. BUTTON,Chevrolet Camaro ZL1,3,2,43,04:04:49,4,8.0,03:52.1,211.3,1
99,2,56,Project 1 - AO,P. HYETT / G. JEANNETTE / M. CAIROLI,Porsche 911 RSR - 19,4,1,25,02:05:34,1,11.0,03:51.4,211.9,1
645,11,23,United Autosports,J. PIERSON / T. BLOMQVIST / O. JARVIS,Oreca 07 - Gibson,2,2,131,11:03:11,14,10.0,03:37.7,225.3,1
1346,22,4,Floyd Vanwall Racing Team,T. DILLMANN / E. GUERRIERI / T. VAUTIER,Vanwall Vandervell 680,1,1,165,15:11:45,19,125.0,03:32.6,230.7,2
193,4,2,Cadillac Racing,E. BAMBER / A. LYNN / R. WESTBROOK,Cadillac V-Series.R,1,1,47,04:05:29,4,10.0,03:30.2,233.4,1
1309,22,709,Glickenhaus Racing,F. MAILLEUX / N. BERTHON / E. GUTIERREZ,Glickenhaus 007,1,1,302,22:01:25,30,258.0,03:29.8,233.8,1
1344,22,80,AF Corse,F. PERRODO / B. BARNICOAT / N. NATO,Oreca 07 - Gibson,2,2,183,14:31:45,18,149.0,03:39.8,223.2,2
682,11,14,Nielsen Racing,R. SALES / M. BECHE / B. HANLEY,Oreca 07 - Gibson,2,2,18,01:27:23,2,13.0,03:44.2,218.8,2
4,1,75,Porsche Penske Motorsport,F. NASR / M. JAMINET / N. TANDY,Porsche 963,1,1,12,01:01:22,0,12.0,03:29.9,233.7,1
1417,23,75,Porsche Penske Motorsport,F. NASR / M. JAMINET / N. TANDY,Porsche 963,1,1,84,06:44:44,7,12.0,03:29.9,233.7,2
780,13,33,Corvette Racing,N. CATSBURG / B. KEATING / N. VARRONE,Chevrolet Corvette C8.R,4,1,157,13:04:22,13,8.0,03:51.3,212.1,1
1165,19,32,Inter Europol Competition,M. KVAMME / J. MAGNUSSEN / A. FJORDBACH,Oreca 07 - Gibson,2,2,117,11:07:56,15,57.0,03:39.4,223.6,2
1339,22,74,Kessel Racing,K. COZZOLINO / Y. TSUJIKO / N. YOKOMIZO,Ferrari 488 GTE Evo,4,1,275,22:01:11,23,181.0,03:53.2,210.3,1
1038,17,777,D'Station Racing,S. HOSHINO / C. STEVENSON / T. FUJII,Aston Martin Vantage AMR,4,1,163,13:41:59,14,149.0,03:54.7,209.0,2
883,15,30,Duqueine Team,N. JANI / R. BINDER / N. PINO,Oreca 07 - Gibson,2,2,191,15:01:33,22,11.0,03:39.0,223.9,1
264,5,28,JOTA,D. HEINEMEIER-HANSSON / O. RASMUSSEN / P. FITTIPALDI,Oreca 07 - Gibson,2,2,58,05:07:22,5,11.0,03:37.3,225.7,1
226,4,54,AF Corse,T. FLOHR / F. CASTELLACCI / D. RIGON,Ferrari 488 GTE Evo,4,1,44,04:05:28,4,8.0,03:52.1,211.3,1
945,16,48,IDEC Sport,P. LAFARGUE / P. CHATIN / L. HÖRR,Oreca 07 - Gibson,2,2,207,16:04:02,20,11.0,03:37.1,225.9,1
462,8,31,Team WRT,S. GELAEL / F. HABSBURG / R. FRIJNS,Oreca 07 - Gibson,2,2,98,08:07:56,11,53.0,03:39.3,223.6,1
642,11,38,Hertz Team JOTA,A. DA COSTA / W. STEVENS / Y. YE,Porsche 963,1,1,131,10:46:38,14,56.0,03:29.0,234.7,1
1175,19,55,GMB Motorsport,G. BIRCH / M. SARENSEN/ J. MALLER,Aston Martin Vantage AMR,4,1,21,01:45:27,2,17.0,03:56.2,207.7,2
74,2,709,Glickenhaus Racing,F. MAILLEUX / N. BERTHON / E. GUTIERREZ,Glickenhaus 007,1,1,26,02:02:40,2,11.0,03:30.6,233.0,1
951,16,45,Algarve Pro Racing,G. KURTZ / J. ALLEN / C. BRAUN,Oreca 07 - Gibson,2,2,204,16:04:50,20,9.0,03:38.0,225.0,1
1435,24,41,Team WRT,R. ANDRADE / L. DELATRAZ / R. KUBICA,Oreca 07 - Gibson,2,2,328,00:01:12,31,315.0,03:36.1,226.9,1
901,15,85,Iron Dames,S. BOVY / M. GATTING / R. FREY,Porsche 911 RSR - 19,4,1,184,15:04:05,14,10.0,03:54.9,208.9,1
459,8,36,Alpine Elf Team,M. VAXIVIERE / C. MILESI / J. CANAL,Oreca 07 - Gibson,2,2,99,08:11:22,12,10.0,03:37.4,225.6,1
253,5,50,Ferrari AF Corse,A. FUOCO / M. MOLINA / N. NIELSEN,Ferrari 499P,1,1,60,05:04:34,6,31.0,03:29.0,234.7,1
918,15,63,Prema Racing,D. PIN / D. KVYAT / M. BORTOLOTTI,Oreca 07 - Gibson,2,2,113,09:35:29,11,65.0,03:39.3,223.7,2
959,16,24,Hendrick Motorsports,J. JOHNSON / M. ROCKENFELLER / J. BUTTON,Chevrolet Camaro ZL1,3,2,199,16:04:18,18,120.0,03:50.9,212.4,1
749,13,3,Cadillac Racing,S. BOURDAIS / R. VAN DER ZANDE / S. DIXON,Cadillac V-Series.R,1,1,170,13:03:30,16,12.0,03:28.3,235.5,1
924,15,83,Richard Mille AF Corse,L. PEREZ COMPANC / A. ROVERA / L. WADOUX,Ferrari 488 GTE Evo,4,1,33,02:46:33,3,8.0,03:52.5,211.0,2
1432,24,709,Glickenhaus Racing,F. MAILLEUX / N. BERTHON / E. GUTIERREZ,Glickenhaus 007,1,1,333,00:01:12,33,261.0,03:29.9,233.7,1
76,2,3,Cadillac Racing,S. BOURDAIS / R. VAN DER ZANDE / S. DIXON,Cadillac V-Series.R,1,1,26,02:05:15,3,12.0,03:28.3,235.5,1
1415,23,66,JMW Motorsport,T. NEUBAUER / L. PRETTE / G. PETROBELLI,Ferrari 488 GTE Evo,4,1,89,07:58:43,8,8.0,03:53.1,210.5,2
1457,24,43,DKR Engineering,T. VAN ROMPUY / U. DE WILDE / M. MARTIN,Oreca 07 - Gibson,2,2,311,00:03:24,33,204.0,03:37.8,225.2,1
753,13,5,Porsche Penske Motorsport,D. CAMERON / M. CHRISTENSEN / F. MAKOWIECKI,Porsche 963,1,1,166,13:03:15,17,9.0,03:30.1,233.5,1
853,14,4,Floyd Vanwall Racing Team,T. DILLMANN / E. GUERRIERI / T. VAUTIER,Vanwall Vandervell 680,1,1,150,12:43:36,18,125.0,03:32.6,230.7,1
680,11,21,AF Corse,S. MANN / J. PIGUET / U. DE PAUW,Ferrari 488 GTE Evo,4,1,21,01:45:28,2,11.0,03:54.8,208.9,2
7,1,2,Cadillac Racing,E. BAMBER / A. LYNN / R. WESTBROOK,Cadillac V-Series.R,1,1,12,01:01:24,0,10.0,03:30.2,233.4,1
399,7,36,Alpine Elf Team,M. VAXIVIERE / C. MILESI / J. CANAL,Oreca 07 - Gibson,2,2,84,07:02:55,11,10.0,03:37.4,225.6,1
21,1,3,Cadillac Racing,S. BOURDAIS / R. VAN DER ZANDE / S. DIXON,Cadillac V-Series.R,1,1,12,01:02:31,1,12.0,03:28.3,235.5,1
1438,24,31,Team WRT,S. GELAEL / F. HABSBURG / R. FRIJNS,Oreca 07 - Gibson,2,2,327,00:03:10,32,293.0,03:36.0,227.1,1
921,15,923,Racing Team Turkey,S. YOLUC / T. GAMBLE / D. VANTHOOR,Oreca 07 - Gibson,2,2,87,07:50:02,10,9.0,03:37.6,225.4,2
990,16,21,AF Corse,S. MANN / J. PIGUET / U. DE PAUW,Ferrari 488 GTE Evo,4,1,21,01:45:28,2,11.0,03:54.8,208.9,2
422,7,66,JMW Motorsport,T. NEUBAUER / L. PRETTE / G. PETROBELLI,Ferrari 488 GTE Evo,4,1,77,07:05:20,7,8.0,03:53.1,210.5,1
1184,20,5,Porsche Penske Motorsport,D. CAMERON / M. CHRISTENSEN / F. MAKOWIECKI,Porsche 963,1,1,272,20:04:41,25,236.0,03:28.7,235.1,1
985,16,72,TF Sport,A. ROBIN / M. ROBIN / V. HASSE-CLOT,Aston Martin Vantage AMR,4,1,58,05:15:31,5,14.0,03:55.0,208.7,2
965,16,9,Prema Racing,B. VISCAAL / J. CORREA / F. UGRAN,Oreca 07 - Gibson,2,2,199,16:05:26,21,10.0,03:37.8,225.2,1
726,12,9,Prema Racing,B. VISCAAL / J. CORREA / F. UGRAN,Oreca 07 - Gibson,2,2,124,12:04:47,14,10.0,03:37.8,225.2,1
1106,18,66,JMW Motorsport,T. NEUBAUER / L. PRETTE / G. PETROBELLI,Ferrari 488 GTE Evo,4,1,89,07:58:43,8,8.0,03:53.1,210.5,2
209,4,48,IDEC Sport,P. LAFARGUE / P. CHATIN / L. HARR,Oreca 07 - Gibson,2,2,45,04:04:42,4,11.0,03:37.1,225.9,1
1015,17,22,United Autosports,P. HANSON / F. ALBUQUERQUE / F. LUBIN,Oreca 07 - Gibson,2,2,219,17:05:23,23,209.0,03:37.0,226.1,1
527,9,56,Project 1 - AO,P. HYETT / G. JEANNETTE / M. CAIROLI,Porsche 911 RSR - 19,4,1,104,09:05:29,9,11.0,03:51.4,211.9,1
1023,17,33,Corvette Racing,N. CATSBURG / B. KEATING / N. VARRONE,Chevrolet Corvette C8.R,4,1,214,17:05:46,16,8.0,03:51.3,212.1,1
839,14,86,GR Racing,M. WAINWRIGHT / B. BARKER / R. PERA,Porsche 911 RSR - 19,4,1,172,14:05:48,15,10.0,03:52.2,211.2,1
277,5,923,Racing Team Turkey,S. YOLUC / T. GAMBLE / D. VANTHOOR,Oreca 07 - Gibson,2,2,57,05:06:17,5,9.0,03:37.6,225.4,1
1129,19,30,Duqueine Team,N. JANI / R. BINDER / N. PINO,Oreca 07 - Gibson,2,2,250,19:02:04,28,236.0,03:38.2,224.8,1
1234,20,83,Richard Mille AF Corse,L. PEREZ COMPANC / A. ROVERA / L. WADOUX,Ferrari 488 GTE Evo,4,1,33,02:46:33,3,8.0,03:52.5,211.0,2
1315,22,31,Team WRT,S. GELAEL / F. HABSBURG / R. FRIJNS,Oreca 07 - Gibson,2,2,296,22:03:44,29,293.0,03:36.0,227.1,1
1259,21,23,United Autosports,J. PIERSON / T. BLOMQVIST / O. JARVIS,Oreca 07 - Gibson,2,2,276,21:01:24,29,270.0,03:37.2,225.8,1
791,13,39,Graff Racing,R. LACORTE / G. VAN DER GARDE / P. PILET,Oreca 07 - Gibson,2,2,147,13:02:27,16,11.0,03:39.0,224.0,1
1072,18,10,Vector Sport,R. CULLEN / G. AUBRY / M. KAISER,Oreca 07 - Gibson,2,2,235,18:01:32,23,11.0,03:37.7,225.3,1
354,6,777,D'Station Racing,S. HOSHINO / C. STEVENSON / T. FUJII,Aston Martin Vantage AMR,4,1,68,06:02:32,6,9.0,03:55.1,208.6,1
878,15,50,Ferrari AF Corse,A. FUOCO / M. MOLINA / N. NIELSEN,Ferrari 499P,1,1,194,15:00:51,19,31.0,03:29.0,234.7,1
375,7,7,Toyota Gazoo Racing,M. CONWAY / K. KOBAYASHI / J. LOPEZ,Toyota GR010 HYBRID,1,1,89,07:03:22,8,12.0,03:30.0,233.6,1
364,6,311,Action Express Racing,L. DERANI / A. SIMS / J. AITKEN,Cadillac V-Series.R,1,1,58,06:01:14,6,54.0,03:30.6,232.9,1
1089,18,57,Kessel Racing,T. KIMURA / S. HUFFAKER / D. SERRA,Ferrari 488 GTE Evo,4,1,226,18:02:42,19,8.0,03:52.5,211.0,1
703,12,28,JOTA,D. HEINEMEIER-HANSSON / O. RASMUSSEN / P. FITTIPALDI,Oreca 07 - Gibson,2,2,132,12:02:23,13,11.0,03:37.3,225.7,1
819,14,94,Peugeot TotalEnergies,L. DUVAL / G. MENEZES / N. MÜLLER,Peugeot 9X8,1,1,179,14:04:21,17,10.0,03:29.7,234.0,1
1324,22,22,United Autosports,P. HANSON / F. ALBUQUERQUE / F. LUBIN,Oreca 07 - Gibson,2,2,289,22:01:43,31,265.0,03:36.7,226.4,1
593,10,24,Hendrick Motorsports,J. JOHNSON / M. ROCKENFELLER / J. BUTTON,Chevrolet Camaro ZL1,3,2,114,10:02:50,11,63.0,03:51.2,212.2,1
1384,23,45,Algarve Pro Racing,G. KURTZ / J. ALLEN / C. BRAUN,Oreca 07 - Gibson,2,2,307,23:04:27,30,9.0,03:38.0,225.0,1
905,15,9,Prema Racing,B. VISCAAL / J. CORREA / F. UGRAN,Oreca 07 - Gibson,2,2,183,15:03:16,19,10.0,03:37.8,225.2,1
148,3,80,AF Corse,F. PERRODO / B. BARNICOAT / N. NATO,Oreca 07 - Gibson,2,2,38,03:13:13,4,13.0,03:43.1,219.9,1
32,1,47,COOL Racing,DE GARUS / V. LOMKO / S. PAGENAUD,Oreca 07 - Gibson,2,2,12,01:03:27,1,10.0,03:37.3,225.7,1
194,4,50,Ferrari AF Corse,A. FUOCO / M. MOLINA / N. NIELSEN,Ferrari 499P,1,1,47,04:05:32,5,31.0,03:29.0,234.7,1
37,1,60,Iron Lynx,C. SCHIAVONI / M. CRESSONI / A. PICARIELLO,Porsche 911 RSR - 19,4,1,12,01:03:58,0,8.0,03:51.4,212.0,1
204,4,41,Team WRT,R. ANDRADE / L. DELATRAZ / R. KUBICA,Oreca 07 - Gibson,2,2,45,04:04:35,4,11.0,03:36.4,226.7,1
1289,21,63,Prema Racing,D. PIN / D. KVYAT / M. BORTOLOTTI,Oreca 07 - Gibson,2,2,113,09:35:29,11,65.0,03:39.3,223.7,2
137,3,3,Cadillac Racing,S. BOURDAIS / R. VAN DER ZANDE / S. DIXON,Cadillac V-Series.R,1,1,39,03:13:59,4,12.0,03:28.3,235.5,1
820,14,65,Panis Racing,M. MALDONADO / T. VAN DER HELM / J. VAN UITERT,Oreca 07 - Gibson,2,2,179,14:04:38,17,10.0,03:38.1,225.0,1
189,4,7,Toyota Gazoo Racing,M. CONWAY / K. KOBAYASHI / J. LOPEZ,Toyota GR010 HYBRID,1,1,47,04:05:13,4,12.0,03:30.0,233.6,1
817,14,41,Team WRT,R. ANDRADE / L. DELATRAZ / R. KUBICA,Oreca 07 - Gibson,2,2,179,14:03:07,18,11.0,03:36.4,226.7,1
561,10,8,Toyota Gazoo Racing,S. BUEMI / B. HARTLEY / R. HIRAKAWA,Toyota GR010 HYBRID,1,1,123,10:01:29,12,10.0,03:29.7,234.0,1
1266,21,33,Corvette Racing,N. CATSBURG / B. KEATING / N. VARRONE,Chevrolet Corvette C8.R,4,1,268,21:01:52,21,261.0,03:50.4,212.9,1
185,3,13,Tower Motorsports,S. THOMAS / R. TAYLOR / R. RAST,Oreca 07 - Gibson,2,2,19,01:34:25,3,10.0,03:39.1,223.9,1
14,1,50,Ferrari AF Corse,A. FUOCO / M. MOLINA / N. NIELSEN,Ferrari 499P,1,1,12,01:02:16,1,9.0,03:30.2,233.4,1
1250,21,34,Inter Europol Competition,J. SMIECHOWSKI / A. COSTA / F. SCHERER,Oreca 07 - Gibson,2,2,281,21:02:47,30,280.0,03:36.7,226.3,1
240,4,83,Richard Mille AF Corse,L. PEREZ COMPANC / A. ROVERA / L. WADOUX,Ferrari 488 GTE Evo,4,1,33,02:46:33,3,8.0,03:52.5,211.0,1
606,10,43,DKR Engineering,T. VAN ROMPUY / U. DE WILDE / M. MARTIN,Oreca 07 - Gibson,2,2,105,10:03:28,12,13.0,03:38.4,224.6,1
1114,18,21,AF Corse,S. MANN / J. PIGUET / U. DE PAUW,Ferrari 488 GTE Evo,4,1,21,01:45:28,2,11.0,03:54.8,208.9,2
1472,24,47,COOL Racing,DE GARUS / V. LOMKO / S. PAGENAUD,Oreca 07 - Gibson,2,2,158,12:41:04,16,10.0,03:37.3,225.7,2
1005,17,30,Duqueine Team,N. JANI / R. BINDER / N. PINO,Oreca 07 - Gibson,2,2,223,17:04:53,25,193.0,03:39.0,224.0,1
531,9,4,Floyd Vanwall Racing Team,T. DILLMANN / E. GUERRIERI / T. VAUTIER,Vanwall Vandervell 680,1,1,103,09:05:19,13,12.0,03:32.9,230.4,1
706,12,45,Algarve Pro Racing,G. KURTZ / J. ALLEN / C. BRAUN,Oreca 07 - Gibson,2,2,131,12:02:45,13,9.0,03:38.0,225.0,1
739,12,60,Iron Lynx,C. SCHIAVONI / M. CRESSONI / A. PICARIELLO,Porsche 911 RSR - 19,4,1,28,02:20:55,2,8.0,03:51.4,212.0,2
